




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (5924)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
negative regulation of cellular catabolic process (GO:0031330)	257	114	73.92	+	1.54	1.58E-04	7.12E-03
intracellular transport (GO:0046907)	1247	553	358.69	+	1.54	1.41E-17	3.42E-15
protein-containing complex localization (GO:0031503)	192	85	55.23	+	1.54	1.36E-03	4.30E-02
regulation of cell cycle phase transition (GO:1901987)	366	162	105.28	+	1.54	6.84E-06	4.34E-04
protein-DNA complex subunit organization (GO:0071824)	208	92	59.83	+	1.54	7.86E-04	2.71E-02
nuclear division (GO:0000280)	304	134	87.44	+	1.53	6.14E-05	3.05E-03
organelle fission (GO:0048285)	329	145	94.63	+	1.53	2.80E-05	1.49E-03
establishment of protein localization (GO:0045184)	1273	561	366.17	+	1.53	2.09E-17	4.84E-15
cell cycle (GO:0007049)	1205	530	346.61	+	1.53	2.40E-16	5.09E-14
vesicle organization (GO:0016050)	273	120	78.53	+	1.53	1.48E-04	6.65E-03
positive regulation of protein catabolic process (GO:0045732)	237	104	68.17	+	1.53	4.98E-04	1.87E-02
cellular macromolecule metabolic process (GO:0044260)	4442	1949	1277.71	+	1.53	7.33E-69	1.65E-65
regulation of cellular catabolic process (GO:0031329)	813	356	233.85	+	1.52	5.33E-11	5.90E-09
protein transport (GO:0015031)	1183	518	340.28	+	1.52	9.61E-16	1.96E-13
chromatin remodeling (GO:0006338)	247	108	71.05	+	1.52	3.98E-04	1.53E-02
cell cycle process (GO:0022402)	802	350	230.69	+	1.52	1.04E-10	1.12E-08
peptidyl-amino acid modification (GO:0018193)	851	371	244.78	+	1.52	2.61E-11	2.95E-09
nucleobase-containing compound transport (GO:0015931)	223	97	64.14	+	1.51	9.01E-04	3.03E-02
cellular protein metabolic process (GO:0044267)	3219	1397	925.92	+	1.51	1.93E-43	1.45E-40
protein modification by small protein conjugation (GO:0032446)	710	308	204.23	+	1.51	2.39E-09	2.35E-07
nucleobase-containing compound catabolic process (GO:0034655)	277	120	79.68	+	1.51	2.57E-04	1.09E-02
regulation of cell cycle process (GO:0010564)	628	272	180.64	+	1.51	2.22E-08	1.96E-06
regulation of DNA metabolic process (GO:0051052)	358	155	102.98	+	1.51	2.83E-05	1.50E-03
organonitrogen compound biosynthetic process (GO:1901566)	1250	539	359.55	+	1.50	2.16E-15	4.13E-13
protein modification by small protein conjugation or removal (GO:0070647)	849	366	244.21	+	1.50	1.20E-10	1.27E-08
organic cyclic compound biosynthetic process (GO:1901362)	948	407	272.69	+	1.49	1.46E-11	1.71E-09
regulation of autophagy (GO:0010506)	317	136	91.18	+	1.49	1.31E-04	6.00E-03
cellular biosynthetic process (GO:0044249)	2293	982	659.56	+	1.49	1.39E-27	6.23E-25
protein ubiquitination (GO:0016567)	661	283	190.13	+	1.49	2.88E-08	2.52E-06
regulation of catabolic process (GO:0009894)	956	409	274.99	+	1.49	1.74E-11	2.01E-09
cellular response to stress (GO:0033554)	1519	649	436.93	+	1.49	9.12E-18	2.31E-15
organelle assembly (GO:0070925)	738	315	212.28	+	1.48	5.50E-09	5.14E-07
regulation of cell cycle (GO:0051726)	1001	427	287.93	+	1.48	9.35E-12	1.16E-09
positive regulation of cell cycle process (GO:0090068)	228	97	65.58	+	1.48	1.59E-03	4.95E-02
organic substance biosynthetic process (GO:1901576)	2354	1000	677.11	+	1.48	3.70E-27	1.57E-24
cellular macromolecule localization (GO:0070727)	1386	588	398.67	+	1.47	1.23E-15	2.41E-13
protein-containing complex subunit organization (GO:0043933)	1337	567	384.58	+	1.47	4.25E-15	7.59E-13
negative regulation of catabolic process (GO:0009895)	316	134	90.90	+	1.47	2.02E-04	8.76E-03
positive regulation of cell cycle (GO:0045787)	307	130	88.31	+	1.47	3.16E-04	1.28E-02
biosynthetic process (GO:0009058)	2420	1023	696.10	+	1.47	2.64E-27	1.15E-24
cellular protein localization (GO:0034613)	1376	581	395.80	+	1.47	3.76E-15	6.78E-13
positive regulation of cellular catabolic process (GO:0031331)	425	179	122.25	+	1.46	2.53E-05	1.39E-03
protein-containing complex assembly (GO:0065003)	1185	499	340.86	+	1.46	6.63E-13	9.30E-11
macromolecule metabolic process (GO:0043170)	5743	2401	1651.93	+	1.45	1.38E-74	4.33E-71
macromolecule modification (GO:0043412)	2825	1179	812.59	+	1.45	4.14E-30	2.03E-27
protein localization (GO:0008104)	1901	793	546.81	+	1.45	1.36E-19	3.95E-17
DNA conformation change (GO:0071103)	269	112	77.38	+	1.45	1.24E-03	4.00E-02
organelle organization (GO:0006996)	3360	1393	966.48	+	1.44	2.15E-35	1.35E-32
positive regulation of catabolic process (GO:0009896)	494	204	142.10	+	1.44	1.76E-05	1.03E-03
cellular metabolic process (GO:0044237)	7029	2900	2021.84	+	1.43	6.88E-94	1.08E-89
organelle localization (GO:0051640)	480	198	138.07	+	1.43	2.51E-05	1.39E-03
nitrogen compound metabolic process (GO:0006807)	6360	2621	1829.41	+	1.43	1.47E-79	1.16E-75
cellular component biogenesis (GO:0044085)	2481	1022	713.64	+	1.43	3.25E-24	1.11E-21
cellular catabolic process (GO:0044248)	1615	664	464.54	+	1.43	2.53E-15	4.67E-13
establishment of organelle localization (GO:0051656)	348	143	100.10	+	1.43	4.49E-04	1.71E-02
cellular protein modification process (GO:0006464)	2610	1069	750.75	+	1.42	1.02E-24	3.80E-22
protein modification process (GO:0036211)	2610	1069	750.75	+	1.42	1.02E-24	3.71E-22
organonitrogen compound catabolic process (GO:1901565)	1029	419	295.98	+	1.42	1.77E-09	1.77E-07
generation of precursor metabolites and energy (GO:0006091)	391	159	112.47	+	1.41	2.84E-04	1.18E-02
regulation of cellular response to stress (GO:0080135)	637	259	183.23	+	1.41	3.13E-06	2.11E-04
